,Temperature,,,,,,,,
Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
01/01/2020,46,36,41,8.4,24,0,0,0,0
01/02/2020,43,26,34.5,2,30,0,T,T,0
01/03/2020,49,27,38,5.6,27,0,0.29,0,0
01/04/2020,52,44,48,15.7,17,0,0.18,0,0
01/05/2020,55,30,42.5,10.3,22,0,0.04,T,0
01/06/2020,41,29,35,2.9,30,0,0,0,0
01/07/2020,47,24,35.5,3.5,29,0,T,T,0
01/08/2020,36,28,32,0.1,33,0,0.2,2.5,1
01/09/2020,45,22,33.5,1.6,31,0,0,0,T
01/10/2020,44,22,33,1.2,32,0,0,0,0
01/11/2020,55,37,46,14.3,19,0,0.14,0,0
01/12/2020,67,48,57.5,25.8,7,0,1.18,0,0
01/13/2020,62,37,49.5,17.9,15,0,0,0,0
01/14/2020,54,38,46,14.4,19,0,T,0,0
01/15/2020,49,38,43.5,11.9,21,0,T,0,0
01/16/2020,59,42,50.5,19,14,0,T,0,0
01/17/2020,50,24,37,5.5,28,0,0,0,0
01/18/2020,39,23,31,-0.5,34,0,0,0,0
01/19/2020,47,31,39,7.5,26,0,0.1,T,0
01/20/2020,35,16,25.5,-6,39,0,T,T,0
01/21/2020,29,9,19,-12.5,46,0,0,0,0
01/22/2020,33,10,21.5,-10.1,43,0,0,0,0
01/23/2020,44,12,28,-3.6,37,0,0,0,0
01/24/2020,40,22,31,-0.6,34,0,0.05,0,0
01/25/2020,43,30,36.5,4.8,28,0,0.84,0,0
01/26/2020,42,31,36.5,4.7,28,0,T,T,0
01/27/2020,38,25,31.5,-0.3,33,0,T,T,0
01/28/2020,43,30,36.5,4.6,28,0,T,T,0
01/29/2020,36,30,33,1,32,0,0,0,0
01/30/2020,44,30,37,4.9,28,0,T,T,0
01/31/2020,38,29,33.5,1.3,31,0,T,T,0
02/01/2020,36,31,33.5,1.2,31,0,0.04,T,0
02/02/2020,46,32,39,6.6,26,0,T,T,0
02/03/2020,58,32,45,12.4,20,0,0,0,0
02/04/2020,62,43,52.5,19.8,12,0,T,0,0
02/05/2020,57,51,54,21.1,11,0,0.03,0,0
02/06/2020,57,36,46.5,13.5,18,0,1.33,0,0
02/07/2020,53,38,45.5,12.3,19,0,2.06,0,0
02/08/2020,38,23,30.5,-2.8,34,0,T,T,0
02/09/2020,40,23,31.5,-2,33,0,0,0,0
02/10/2020,50,25,37.5,3.8,27,0,T,0,0
02/11/2020,52,35,43.5,9.6,21,0,0.69,0,0
02/12/2020,59,35,47,12.9,18,0,0.09,0,0
02/13/2020,46,35,40.5,6.2,24,0,0.23,0,0
02/14/2020,57,28,42.5,8,22,0,0.17,T,0
02/15/2020,35,11,23,-11.7,42,0,0,0,0
02/16/2020,40,17,28.5,-6.4,36,0,0,0,0
02/17/2020,53,25,39,3.9,26,0,0,0,0
02/18/2020,54,28,41,5.7,24,0,0,0,0
02/19/2020,52,36,44,8.5,21,0,0.17,0,0
02/20/2020,46,27,36.5,0.8,28,0,0,0,0
02/21/2020,35,19,27,-9,38,0,0.02,0.2,0
02/22/2020,39,18,28.5,-7.7,36,0,0,0,0
02/23/2020,52,18,35,-1.4,30,0,0,0,0
02/24/2020,58,18,38,1.4,27,0,0,0,0
02/25/2020,45,29,37,0.1,28,0,0.35,0,0
02/26/2020,63,33,48,10.9,17,0,0.01,0,0
02/27/2020,62,25,43.5,6.2,21,0,0.19,0.1,0
02/28/2020,36,24,30,-7.6,35,0,T,T,0
02/29/2020,38,23,30.5,-7.2,34,0,0.05,1.3,1
03/01/2020,35,21,28,-9.8,37,0,T,0.1,0
03/02/2020,56,21,38.5,0.5,26,0,0,0,0
03/03/2020,53,29,41,2.7,24,0,0.25,0,0
03/04/2020,61,38,49.5,11,15,0,0.01,0,0
03/05/2020,59,35,47,8.2,18,0,0,0,0
03/06/2020,53,27,40,1,25,0,0,0,0
03/07/2020,44,28,36,-3.2,29,0,0.06,T,0
03/08/2020,42,20,31,-8.5,34,0,0,0,0
03/09/2020,63,20,41.5,1.8,23,0,0,0,0
03/10/2020,66,27,46.5,6.5,18,0,0.04,0,0
03/11/2020,64,49,56.5,16.3,8,0,0.11,0,0
03/12/2020,66,36,51,10.5,14,0,T,0,0
03/13/2020,69,36,52.5,11.7,12,0,0.74,0,0
03/14/2020,65,37,51,10,14,0,0.03,0,0
03/15/2020,58,37,47.5,6.2,17,0,0.41,0,0
03/16/2020,42,35,38.5,-3.1,26,0,0.04,0,0
03/17/2020,46,35,40.5,-1.3,24,0,0.01,0,0
03/18/2020,58,40,49,6.9,16,0,T,0,0
03/19/2020,51,45,48,5.6,17,0,0.33,0,0
03/20/2020,72,47,59.5,16.8,5,0,0,0,0
03/21/2020,72,50,61,18,4,0,0.47,0,0
03/22/2020,58,37,47.5,4.2,17,0,0,0,0
03/23/2020,50,36,43,-0.6,22,0,0.14,0,0
03/24/2020,52,37,44.5,0.6,20,0,0.13,0,0
03/25/2020,56,43,49.5,5.3,15,0,1.08,0,0
03/26/2020,58,34,46,1.5,19,0,0.03,0,0
03/27/2020,61,39,50,5.2,15,0,0,0,0
03/28/2020,79,48,63.5,18.4,1,0,0,0,0
03/29/2020,86,52,69,23.6,0,4,0,0,0
03/30/2020,77,50,63.5,17.7,1,0,0.01,0,0
03/31/2020,68,44,56,9.9,9,0,0,0,0
04/01/2020,51,36,43.5,-2.9,21,0,0.91,0,0
04/02/2020,48,37,42.5,-4.3,22,0,0.01,T,0
04/03/2020,55,37,46,-1.1,19,0,0,0,0
04/04/2020,64,38,51,3.6,14,0,0,0,0
04/05/2020,69,37,53,5.2,12,0,0,0,0
04/06/2020,71,39,55,6.9,10,0,T,0,0
04/07/2020,73,44,58.5,10,6,0,0.03,0,0
04/08/2020,74,45,59.5,10.7,5,0,0.22,T,0
04/09/2020,73,47,60,10.8,5,0,0.43,T,0
04/10/2020,64,32,48,-1.5,17,0,T,T,0
04/11/2020,46,27,36.5,-13.4,28,0,T,T,0
04/12/2020,62,31,46.5,-3.8,18,0,T,0,0
04/13/2020,62,43,52.5,1.9,12,0,2.41,0,0
04/14/2020,68,36,52,1,13,0,0.04,0,0
04/15/2020,55,32,43.5,-7.8,21,0,0.13,0.2,0
04/16/2020,51,33,42,-9.7,23,0,0,0,0
04/17/2020,55,29,42,-10,23,0,0,0,0
04/18/2020,66,30,48,-4.3,17,0,0.21,0,0
04/19/2020,55,29,42,-10.7,23,0,0.01,0,0
04/20/2020,64,29,46.5,-6.5,18,0,0.12,0,0
04/21/2020,63,40,51.5,-1.8,13,0,0.22,0,0
04/22/2020,65,35,50,-3.7,15,0,0,0,0
04/23/2020,65,35,50,-4,15,0,T,0,0
04/24/2020,53,48,50.5,-3.8,14,0,0.47,0,0
04/25/2020,67,44,55.5,0.9,9,0,0.03,0,0
04/26/2020,54,45,49.5,-5.4,15,0,0.57,0,0
04/27/2020,61,44,52.5,-2.7,12,0,0.03,0,0
04/28/2020,59,36,47.5,-8,17,0,T,0,0
04/29/2020,64,43,53.5,-2.3,11,0,T,0,0
04/30/2020,71,47,59,2.9,6,0,1.32,0,0
05/01/2020,59,42,50.5,-5.9,14,0,T,0,0
05/02/2020,54,41,47.5,-9.2,17,0,T,0,0
05/03/2020,75,44,59.5,2.6,5,0,0,0,0
05/04/2020,81,55,68,10.8,0,3,0.05,0,0
05/05/2020,72,50,61,3.5,4,0,T,0,0
05/06/2020,51,45,48,-9.7,17,0,0.23,0,0
05/07/2020,51,34,42.5,-15.5,22,0,0,0,0
05/08/2020,61,38,49.5,-8.7,15,0,0,0,0
05/09/2020,56,29,42.5,-16,22,0,0.16,T,0
05/10/2020,51,28,39.5,-19.2,25,0,0,0,0
05/11/2020,63,28,45.5,-13.5,19,0,0.01,0,0
05/12/2020,53,35,44,-15.2,21,0,0,0,0
05/13/2020,59,36,47.5,-11.9,17,0,0,0,0
05/14/2020,59,42,50.5,-9.2,14,0,T,0,0
05/15/2020,76,49,62.5,2.6,2,0,0.01,0,0
05/16/2020,80,51,65.5,5.3,0,1,0,0,0
05/17/2020,84,52,68,7.6,0,3,0,0,0
05/18/2020,78,58,68,7.4,0,3,T,0,0
05/19/2020,72,49,60.5,-0.4,4,0,0.65,0,0
05/20/2020,50,40,45,-16.1,20,0,1.72,0,0
05/21/2020,49,40,44.5,-16.8,20,0,2.24,0,0
05/22/2020,55,48,51.5,-10.1,13,0,0.94,0,0
05/23/2020,74,53,63.5,1.7,1,0,0.08,0,0
05/24/2020,77,54,65.5,3.4,0,1,T,0,0
05/25/2020,84,57,70.5,8.2,0,6,0.14,0,0
05/26/2020,71,59,65,2.4,0,0,0,0,0
05/27/2020,72,61,66.5,3.7,0,2,T,0,0
05/28/2020,66,61,63.5,0.4,1,0,1.15,0,0
05/29/2020,81,61,71,7.6,0,6,0,0,0
05/30/2020,79,59,69,5.4,0,4,T,0,0
05/31/2020,78,51,64.5,0.6,0,0,0,0,0
06/01/2020,73,42,57.5,-6.7,7,0,0,0,0
06/02/2020,72,44,58,-6.4,7,0,T,0,0
06/03/2020,84,55,69.5,4.8,0,5,0,0,0
06/04/2020,86,60,73,8,0,8,0,0,0
06/05/2020,84,61,72.5,7.3,0,8,0.04,0,0
06/06/2020,81,61,71,5.5,0,6,0.78,0,0
06/07/2020,84,62,73,7.2,0,8,0,0,0
06/08/2020,83,52,67.5,1.4,0,3,0,0,0
06/09/2020,82,58,70,3.7,0,5,0,0,0
06/10/2020,86,66,76,9.4,0,11,0,0,0
06/11/2020,85,66,75.5,8.6,0,11,T,0,0
06/12/2020,78,51,64.5,-2.7,0,0,0,0,0
06/13/2020,80,52,66,-1.4,0,1,0,0,0
06/14/2020,79,51,65,-2.7,0,0,0,0,0
06/15/2020,71,53,62,-6,3,0,0.64,0,0
06/16/2020,58,51,54.5,-13.7,10,0,0.21,0,0
06/17/2020,61,54,57.5,-11,7,0,1.1,0,0
06/18/2020,61,54,57.5,-11.2,7,0,1.73,0,0
06/19/2020,72,59,65.5,-3.4,0,1,0.01,0,0
06/20/2020,74,59,66.5,-2.7,0,2,0.06,0,0
06/21/2020,80,59,69.5,0.1,0,5,0.2,0,0
06/22/2020,82,61,71.5,1.9,0,7,0.01,0,0
06/23/2020,82,60,71,1.2,0,6,0,0,0
06/24/2020,82,59,70.5,0.5,0,6,0.22,0,0
06/25/2020,79,57,68,-2.2,0,3,0,0,0
06/26/2020,81,54,67.5,-2.9,0,3,0,0,0
06/27/2020,83,57,70,-0.6,0,5,0,0,0
06/28/2020,82,60,71,0.3,0,6,T,0,0
06/29/2020,72,61,66.5,-4.4,0,2,T,0,0
06/30/2020,86,63,74.5,3.5,0,10,0,0,0
07/01/2020,82,61,71.5,0.4,0,7,0.22,0,0
07/02/2020,86,61,73.5,2.3,0,9,0,0,0
07/03/2020,85,59,72,0.6,0,7,0,0,0
07/04/2020,87,61,74,2.6,0,9,0,0,0
07/05/2020,89,64,76.5,5,0,12,0,0,0
07/06/2020,87,64,75.5,3.9,0,11,0,0,0
07/07/2020,87,62,74.5,2.8,0,10,0,0,0
07/08/2020,87,63,75,3.3,0,10,0,0,0
07/09/2020,86,64,75,3.2,0,10,0,0,0
07/10/2020,86,65,75.5,3.7,0,11,0,0,0
07/11/2020,88,67,77.5,5.7,0,13,0.01,0,0
07/12/2020,83,59,71,-0.9,0,6,0,0,0
07/13/2020,83,60,71.5,-0.4,0,7,0.47,0,0
07/14/2020,84,57,70.5,-1.4,0,6,0,0,0
07/15/2020,86,60,73,1.1,0,8,0,0,0
07/16/2020,87,62,74.5,2.6,0,10,0,0,0
07/17/2020,87,67,77,5.1,0,12,0.19,0,0
07/18/2020,89,65,77,5.2,0,12,T,0,0
07/19/2020,90,66,78,6.2,0,13,0,0,0
07/20/2020,92,67,79.5,7.7,0,15,0,0,0
07/21/2020,91,67,79,7.2,0,14,0,0,0
07/22/2020,89,65,77,5.3,0,12,0.04,0,0
07/23/2020,88,66,77,5.3,0,12,0.15,0,0
07/24/2020,84,66,75,3.3,0,10,0.07,0,0
07/25/2020,86,64,75,3.4,0,10,T,0,0
07/26/2020,88,64,76,4.4,0,11,0,0,0
07/27/2020,88,64,76,4.5,0,11,0.17,0,0
07/28/2020,87,66,76.5,5,0,12,0.13,0,0
07/29/2020,85,66,75.5,4.1,0,11,0.06,0,0
07/30/2020,88,65,76.5,5.1,0,12,0,0,0
07/31/2020,83,66,74.5,3.1,0,10,1.12,0,0
08/01/2020,86,67,76.5,5.2,0,12,0.18,0,0
08/02/2020,86,65,75.5,4.2,0,11,0,0,0
08/03/2020,84,65,74.5,3.3,0,10,0.25,0,0
08/04/2020,71,63,67,-4.2,0,2,0.63,0,0
08/05/2020,83,59,71,-0.1,0,6,T,0,0
08/06/2020,82,61,71.5,0.4,0,7,0.61,0,0
08/07/2020,81,64,72.5,1.5,0,8,0.26,0,0
08/08/2020,84,62,73,2,0,8,T,0,0
08/09/2020,85,64,74.5,3.6,0,10,0,0,0
08/10/2020,85,60,72.5,1.6,0,8,0,0,0
08/11/2020,86,62,74,3.2,0,9,T,0,0
08/12/2020,86,67,76.5,5.7,0,12,T,0,0
08/13/2020,82,66,74,3.3,0,9,0.04,0,0
08/14/2020,82,66,74,3.3,0,9,2.88,0,0
08/15/2020,81,67,74,3.4,0,9,0.2,0,0
08/16/2020,69,58,63.5,-7,1,0,1.14,0,0
08/17/2020,76,59,67.5,-3,0,3,0.03,0,0
08/18/2020,82,57,69.5,-0.9,0,5,0,0,0
08/19/2020,80,58,69,-1.3,0,4,T,0,0
08/20/2020,80,59,69.5,-0.7,0,5,0,0,0
08/21/2020,78,63,70.5,0.4,0,6,0,0,0
08/22/2020,76,65,70.5,0.5,0,6,0.25,0,0
08/23/2020,82,60,71,1.1,0,6,0.01,0,0
08/24/2020,83,62,72.5,2.7,0,8,0.02,0,0
08/25/2020,82,62,72,2.3,0,7,0,0,0
08/26/2020,84,61,72.5,3,0,8,0.18,0,0
08/27/2020,84,63,73.5,4.1,0,9,0,0,0
08/28/2020,85,64,74.5,5.3,0,10,0,0,0
08/29/2020,86,67,76.5,7.4,0,12,0.1,0,0
08/30/2020,82,62,72,3.1,0,7,0.19,0,0
08/31/2020,80,62,71,2.3,0,6,0.22,0,0
09/01/2020,69,63,66,-2.5,0,1,0.9,0,0
09/02/2020,76,64,70,1.7,0,5,0.01,0,0
09/03/2020,85,66,75.5,7.4,0,11,T,0,0
09/04/2020,85,63,74,6.1,0,9,0.01,0,0
09/05/2020,82,53,67.5,-0.2,0,3,T,0,0
09/06/2020,77,48,62.5,-4.9,2,0,0,0,0
09/07/2020,79,49,64,-3.2,1,0,0,0,0
09/08/2020,81,53,67,0.1,0,2,0,0,0
09/09/2020,81,55,68,1.4,0,3,0,0,0
09/10/2020,77,66,71.5,5.2,0,7,0.03,0,0
09/11/2020,81,63,72,6,0,7,T,0,0
09/12/2020,84,63,73.5,7.8,0,9,0.11,0,0
09/13/2020,70,62,66,0.6,0,1,T,0,0
09/14/2020,80,62,71,5.9,0,6,0,0,0
09/15/2020,79,57,68,3.2,0,3,0,0,0
09/16/2020,66,47,56.5,-7.9,8,0,0,0,0
09/17/2020,68,47,57.5,-6.6,7,0,0.03,0,0
09/18/2020,61,57,59,-4.8,6,0,1.19,0,0
09/19/2020,74,50,62,-1.4,3,0,0,0,0
09/20/2020,59,34,46.5,-16.5,18,0,0,0,0
09/21/2020,62,34,48,-14.7,17,0,0,0,0
09/22/2020,62,35,48.5,-13.8,16,0,0,0,0
09/23/2020,69,35,52,-9.9,13,0,0,0,0
09/24/2020,70,46,58,-3.5,7,0,T,0,0
09/25/2020,64,55,59.5,-1.7,5,0,0.4,0,0
09/26/2020,59,55,57,-3.8,8,0,0.95,0,0
09/27/2020,69,54,61.5,1.1,3,0,0,0,0
09/28/2020,73,56,64.5,4.5,0,0,T,0,0
09/29/2020,77,56,66.5,6.9,0,2,0.1,0,0
09/30/2020,66,44,55,-4.2,10,0,0.86,0,0
10/01/2020,65,45,55,-3.9,10,0,0,0,0
10/02/2020,67,40,53.5,-5,11,0,T,0,0
10/03/2020,61,33,47,-11.1,18,0,0,0,0
10/04/2020,62,33,47.5,-10.2,17,0,0,0,0
10/05/2020,66,38,52,-5.3,13,0,T,0,0
10/06/2020,64,38,51,-5.9,14,0,0,0,0
10/07/2020,72,38,55,-1.5,10,0,0,0,0
10/08/2020,75,45,60,3.8,5,0,0,0,0
10/09/2020,73,42,57.5,1.7,7,0,0,0,0
10/10/2020,65,42,53.5,-1.9,11,0,0.06,0,0
10/11/2020,63,54,58.5,3.5,6,0,0.84,0,0
10/12/2020,60,59,59.5,4.8,5,0,0.6,0,0
10/13/2020,65,59,62,7.7,3,0,0.02,0,0
10/14/2020,66,43,54.5,0.6,10,0,0,0,0
10/15/2020,73,41,57,3.5,8,0,0,0,0
10/16/2020,75,42,58.5,5.3,6,0,T,0,0
10/17/2020,57,31,44,-8.8,21,0,0.01,0,0
10/18/2020,58,32,45,-7.5,20,0,0,0,0
10/19/2020,63,33,48,-4.1,17,0,0,0,0
10/20/2020,72,38,55,3.3,10,0,0,0,0
10/21/2020,77,43,60,8.6,5,0,0,0,0
10/22/2020,81,47,64,13,1,0,0,0,0
10/23/2020,77,49,63,12.3,2,0,0,0,0
10/24/2020,78,51,64.5,14.2,0,0,0,0,0
10/25/2020,71,53,62,12,3,0,0.19,0,0
10/26/2020,53,47,50,0.4,15,0,0.1,0,0
10/27/2020,72,48,60,10.7,5,0,0,0,0
10/28/2020,69,51,60,11.1,5,0,0,0,0
10/29/2020,65,51,58,9.4,7,0,0.75,0,0
10/30/2020,73,46,59.5,11.3,5,0,1.36,0,0
10/31/2020,50,29,39.5,-8.4,25,0,0,0,0
11/01/2020,51,34,42.5,-5,22,0,0.11,0,0
11/02/2020,61,29,45,-2.2,20,0,0.18,T,0
11/03/2020,45,29,37,-9.8,28,0,0,0,0
11/04/2020,59,29,44,-2.5,21,0,0,0,0
11/05/2020,68,30,49,2.9,16,0,0,0,0
11/06/2020,66,32,49,3.2,16,0,0,0,0
11/07/2020,71,35,53,7.5,12,0,0,0,0
11/08/2020,72,36,54,8.9,11,0,0,0,0
11/09/2020,73,41,57,12.2,8,0,0,0,0
11/10/2020,72,46,59,14.6,6,0,0.01,0,0
11/11/2020,71,57,64,19.9,1,0,1.01,0,0
11/12/2020,70,59,64.5,20.7,0,0,2.92,0,0
11/13/2020,59,49,54,10.5,11,0,0.14,0,0
11/14/2020,62,34,48,4.9,17,0,0,0,0
11/15/2020,59,37,48,5.2,17,0,0,0,0
11/16/2020,59,38,48.5,6,16,0,0.06,0,0
11/17/2020,52,30,41,-1.2,24,0,0,0,0
11/18/2020,46,27,36.5,-5.3,28,0,0,0,0
11/19/2020,44,23,33.5,-8,31,0,0,0,0
11/20/2020,59,23,41,-0.2,24,0,0,0,0
11/21/2020,66,27,46.5,5.6,18,0,0,0,0
11/22/2020,65,33,49,8.4,16,0,0,0,0
11/23/2020,57,37,47,6.7,18,0,0.15,0,0
11/24/2020,48,28,38,-2,27,0,0,0,0
11/25/2020,50,28,39,-0.7,26,0,0,0,0
11/26/2020,56,31,43.5,4,21,0,T,0,0
11/27/2020,66,34,50,10.8,15,0,0,0,0
11/28/2020,57,34,45.5,6.6,19,0,0,0,0
11/29/2020,54,26,40,1.4,25,0,0,0,0
11/30/2020,53,26,39.5,1.1,25,0,0.81,0,0
12/01/2020,49,28,38.5,0.4,26,0,0.42,T,0
12/02/2020,31,24,27.5,-10.4,37,0,T,T,0
12/03/2020,40,19,29.5,-8.1,35,0,0,0,0
12/04/2020,55,19,37,-0.4,28,0,0,0,0
12/05/2020,48,33,40.5,3.3,24,0,1.07,0,0
12/06/2020,40,28,34,-2.9,31,0,0,0,0
12/07/2020,48,28,38,1.3,27,0,0.02,0.6,T
12/08/2020,36,25,30.5,-6,34,0,T,T,0
12/09/2020,33,22,27.5,-8.8,37,0,0,0,0
12/10/2020,47,25,36,-0.1,29,0,0,0,0
12/11/2020,59,29,44,8.1,21,0,0,0,0
12/12/2020,64,29,46.5,10.8,18,0,0,0,0
12/13/2020,61,37,49,13.5,16,0,0,0,0
12/14/2020,61,39,50,14.7,15,0,0.52,0,0
12/15/2020,42,21,31.5,-3.6,33,0,0.6,0,0
12/16/2020,40,22,31,-3.9,34,0,T,T,T
12/17/2020,33,26,29.5,-5.2,35,0,0.4,1.2,T
12/18/2020,36,28,32,-2.6,33,0,T,T,0
12/19/2020,32,17,24.5,-9.9,40,0,T,T,0
12/20/2020,38,18,28,-6.2,37,0,0,0,0
12/21/2020,46,30,38,3.9,27,0,T,T,0
12/22/2020,48,31,39.5,5.6,25,0,T,T,0
12/23/2020,44,22,33,-0.8,32,0,T,T,0
12/24/2020,49,25,37,3.4,28,0,0.03,0,0
12/25/2020,51,18,34.5,1,30,0,0.8,3.5,4
12/26/2020,26,8,17,-16.4,48,0,0.01,0.5,3
12/27/2020,30,9,19.5,-13.7,45,0,0,0,3
12/28/2020,48,13,30.5,-2.6,34,0,T,0,1
12/29/2020,45,27,36,3,29,0,T,0,T
12/30/2020,42,22,32,-0.8,33,0,0,0,0
12/31/2020,47,23,35,2.3,30,0,T,0,0
